X-Axis	CC14_MI2_H2O_96mw
 2.599926906E+03	 1.284900024E+03
 2.603619926E+03	 1.290300049E+03
 2.607311201E+03	 1.284500000E+03
 2.611000734E+03	 1.295599976E+03
 2.614688524E+03	 1.290199951E+03
 2.618374574E+03	 1.286599976E+03
 2.622058885E+03	 1.296800049E+03
 2.625741457E+03	 1.280900024E+03
 2.629422293E+03	 1.292800049E+03
 2.633101393E+03	 1.303000000E+03
 2.636778759E+03	 1.296900024E+03
 2.640454391E+03	 1.293599976E+03
 2.644128292E+03	 1.289199951E+03
 2.647800463E+03	 1.297800049E+03
 2.651470904E+03	 1.293800049E+03
 2.655139617E+03	 1.289500000E+03
 2.658806604E+03	 1.300599976E+03
 2.662471865E+03	 1.293599976E+03
 2.666135402E+03	 1.278900024E+03
 2.669797216E+03	 1.294099976E+03
 2.673457308E+03	 1.284599976E+03
 2.677115680E+03	 1.291400024E+03
 2.680772333E+03	 1.291099976E+03
 2.684427267E+03	 1.291099976E+03
 2.688080485E+03	 1.292500000E+03
 2.691731988E+03	 1.288800049E+03
 2.695381776E+03	 1.283699951E+03
 2.699029852E+03	 1.283699951E+03
 2.702676216E+03	 1.291800049E+03
 2.706320869E+03	 1.290400024E+03
 2.709963813E+03	 1.291199951E+03
 2.713605049E+03	 1.287599976E+03
 2.717244579E+03	 1.289500000E+03
 2.720882403E+03	 1.291800049E+03
 2.724518522E+03	 1.288500000E+03
 2.728152939E+03	 1.287400024E+03
 2.731785654E+03	 1.287599976E+03
 2.735416668E+03	 1.302000000E+03
 2.739045983E+03	 1.295500000E+03
 2.742673600E+03	 1.294500000E+03
 2.746299520E+03	 1.294199951E+03
 2.749923744E+03	 1.293400024E+03
 2.753546274E+03	 1.288500000E+03
 2.757167111E+03	 1.301800049E+03
 2.760786255E+03	 1.285199951E+03
 2.764403710E+03	 1.293099976E+03
 2.768019474E+03	 1.297400024E+03
 2.771633550E+03	 1.297699951E+03
 2.775245939E+03	 1.290000000E+03
 2.778856643E+03	 1.288800049E+03
 2.782465661E+03	 1.286099976E+03
 2.786072997E+03	 1.286199951E+03
 2.789678650E+03	 1.281800049E+03
 2.793282621E+03	 1.287099976E+03
 2.796884914E+03	 1.281199951E+03
 2.800485527E+03	 1.285500000E+03
 2.804084464E+03	 1.280099976E+03
 2.807681724E+03	 1.287400024E+03
 2.811277309E+03	 1.284699951E+03
 2.814871220E+03	 1.277800049E+03
 2.818463459E+03	 1.277300049E+03
